levelid,mapid,maplv,maintype,leveltype,levelindex,chapterindex,taskindex,level,levelname,chaptername,descriptiont,teamexp,everydaynum,sloot1,sloot2,sloot3,sloot4,sloot5,nextlevel,alevel1,Icon_X,Icon_Y,map_bg,battle_bg,ready_bg,music,monster_face,hang_up,Initial_anger,comat,dungeon_extra_drop1,dungeon_extra_drop2,dungeon_extra_drop3,dungeon_extra_drop4,daily_recharge_group,team_lack,story_id,level_skip,skip_type,skip_num
110228,110228,8,1,3,2,28,40,1,第2章,关卡2-28,整个港口几乎被翻了个遍，越是深入其中，环境越是阴森恐怖。暗影力量可以腐化在此作战的英雄，那只如鬼魅般的怪物全身都散发着幽暗的光，与它作战的战士很多都发疯地攻击同伴，在它面前拖得时间越长，战胜它的可能越小。,5,99,91000002,91000001,0,0,0,110301,110227,1043,306,gk_Cemetery_02,Cemetery01_02,Cemetery01_01,1009,1021602|1021603,100025,400,269586,10202,10202,10202,10202,1,1,0,1,0,0
110301,110301,9,1,1,3,1,41,1,第3章,关卡3-1,0,5,99,91000002,91000001,0,0,0,110302,110228,63,305,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100026,300,500000,10202,10202,10202,10202,1,0,0,1,1,974128
110302,110302,9,1,1,3,2,42,1,第3章,关卡3-2,0,5,99,91000002,91000001,0,0,0,110303,110301,107,290,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100026,300,501900,10202,10202,10202,10202,1,0,0,1,1,977830
110303,110303,9,1,1,3,3,43,1,第3章,关卡3-3,0,5,99,91000002,91000001,0,0,0,110304,110302,154,329,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100026,300,503807,10202,10202,10202,10202,1,0,0,1,1,981545
110304,110304,9,1,2,3,4,44,1,第3章,关卡3-4,港口被夺回以后，部分出海开始被逐渐批准，因为怒涛联邦准备重建港口，恢复部分港口的功能。不过却只有很少的船队愿意在这里出海和停靠。从这里出海的船只都非常害怕遇到传说中浓雾里的岛屿，曾经那就是个可怕传说，到了暗影出现的今天更加令人畏惧。,5,99,91000002,91000001,0,0,0,110305,110303,207,287,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100027,300,505721,10202,10202,10202,10202,1,0,0,1,0,0
110305,110305,9,1,1,3,5,45,1,第3章,关卡3-5,0,5,99,91000002,91000001,0,0,0,110306,110304,248,286,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100027,300,507642,10202,10202,10202,10202,1,0,0,1,1,989017
110306,110306,10,1,1,3,6,46,1,第3章,关卡3-6,0,5,99,91000002,91000001,0,0,0,110307,110305,280,287,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100027,300,509571,10202,10202,10202,10202,1,0,0,1,1,992775
110307,110307,10,1,1,3,7,47,1,第3章,关卡3-7,0,5,99,91000002,91000001,0,0,0,110308,110306,308,293,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100028,300,511507,10202,10202,10202,10202,1,0,0,1,1,996547
110308,110308,10,1,2,3,8,48,1,第3章,关卡3-8,从西面出海过的船只都听说过类似传说，在海中间有一座若隐若现的岛屿。它被浓雾所包裹，误入其中的船只只能在伸手不见五指的海雾中航行据说有不少的船只在雾中失踪，而有幸归来的船只却也无法准确说出岛屿在海中的位置，他们也说不出是怎么走出浓雾的。,5,99,91000002,91000001,0,0,0,110309,110307,335,306,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100028,300,513450,10202,10202,10202,10202,1,0,0,1,0,0
110309,110309,10,1,1,3,9,49,1,第3章,关卡3-9,0,5,99,91000002,91000001,0,0,0,110310,110308,362,324,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100028,300,515401,10202,10202,10202,10202,1,0,0,1,1,1004133
110310,110310,10,1,1,3,10,50,1,第3章,关卡3-10,0,5,99,91000002,91000001,0,0,0,110311,110309,393,329,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100028,300,517359,10202,10202,10202,10202,1,0,0,1,1,1007948
110311,110311,11,1,1,3,11,51,1,第3章,关卡3-11,0,5,99,91000002,91000001,0,0,0,110312,110310,425,323,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100029,300,519324,10202,10202,10202,10202,1,0,0,1,1,1011776
110312,110312,11,1,2,3,12,52,1,第3章,关卡3-12,关于岛屿的形成也有很多传闻，毕竟航海的过程是极其枯燥的，哪怕是一些恐怖海上传说也能减少航行的无趣。有人说那座浓雾岛屿来自几百年前的一次大陆中心动荡，一块巨石从天而降落在大陆中心，而一些随着巨石一起落下的碎石里就有形成岛屿的石块。,5,99,91000002,91000001,0,0,0,110313,110311,449,296,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100029,300,521297,10202,10202,10202,10202,1,0,0,1,0,0
110313,110313,11,1,1,3,13,53,1,第3章,关卡3-13,0,5,99,91000002,91000001,0,0,0,110314,110312,488,278,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100029,200,523277,10202,10202,10202,10202,1,0,0,1,1,1019478
110314,110314,11,1,1,3,14,54,1,第3章,关卡3-14,0,5,99,91000002,91000001,0,0,0,110315,110313,479,250,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100029,200,525265,10202,10202,10202,10202,1,0,0,1,1,1023351
110315,110315,11,1,1,3,15,55,1,第3章,关卡3-15,0,5,99,91000002,91000001,0,0,0,110316,110314,509,237,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100030,200,527261,10202,10202,10202,10202,1,0,0,1,1,1027240
110316,110316,12,1,2,3,16,56,1,第3章,关卡3-16,所有人都知道坠落在大陆中心的巨石是不祥的存在，没有人敢随意靠近它，所有不信邪的人都在靠近之后发疯死去。他们常常说自己听见了死亡的低语，一些恐怖的声音永远回荡在耳边，引导他们去信仰某种虚无。所以，从其中的碎片里但是的岛屿显然是所有船队的噩梦。或许在岛屿中居住着一只恶魔。,5,99,91000002,91000001,0,0,0,110317,110315,534,226,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100030,200,529264,10202,10202,10202,10202,1,0,0,1,0,0
110317,110317,12,1,1,3,17,57,1,第3章,关卡3-17,0,5,99,91000002,91000001,0,0,0,110318,110316,561,257,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100030,200,531275,10202,10202,10202,10202,1,0,0,1,1,1035060
110318,110318,12,1,1,3,18,58,1,第3章,关卡3-18,0,5,99,91000002,91000001,0,0,0,110319,110317,579,287,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100030,200,533293,10202,10202,10202,10202,1,0,0,1,1,1038992
110319,110319,12,1,1,3,19,59,1,第3章,关卡3-19,0,5,99,91000002,91000001,0,0,0,110320,110318,612,318,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100031,200,535319,10202,10202,10202,10202,1,0,0,1,1,1042939
110320,110320,12,1,2,3,20,60,1,第3章,关卡3-20,传说常常只是传说，尤其是海上的传说。很多时候，那不过是海面上无趣的水手对着大海编出来解闷的故事。至于失踪的船只，有些水手会说，在海上风暴里被毁灭的船更多，失踪的人更是数不胜数。所以这座港口才有重建的可能，一些愿意铤而走险的船队和前来冒险的冒险家们，正在让港口逐渐繁盛。,5,99,91000002,91000001,0,0,0,110321,110319,631,282,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100031,200,537353,10202,10202,10202,10202,1,0,0,1,0,0
110321,110321,13,1,1,3,21,61,1,第3章,关卡3-21,0,5,99,91000002,91000001,0,0,0,110322,110320,670,267,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100031,200,539394,10202,10202,10202,10202,1,0,0,1,1,1050878
110322,110322,13,1,1,3,22,62,1,第3章,关卡3-22,0,5,99,91000002,91000001,0,0,0,110323,110321,703,278,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100031,200,541443,10202,10202,10202,10202,1,0,0,1,1,1054870
110323,110323,13,1,1,3,23,63,1,第3章,关卡3-23,0,5,99,91000002,91000001,0,0,0,110324,110322,736,278,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100032,200,543500,10202,10202,10202,10202,1,0,0,1,1,1058878
110324,110324,13,1,2,3,24,64,1,第3章,关卡3-24,海港的翻新重建进行得还算顺利，也许比不上以前繁荣，但至少他们找来了足够的人来维持港口的运转和修建。只要能坚持几年，这里恢复像从前也不是不可能，只不过他们更加担忧的倒是之前暗影生物造成的影响。港口可以完全翻新，可是之前那些暗影生物在人们心里已经留下了足够的阴影。,5,99,91000002,91000001,0,0,0,110325,110323,759,244,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100032,200,545565,10202,10202,10202,10202,1,0,0,1,0,0
110325,110325,13,1,1,3,25,65,1,第3章,关卡3-25,0,5,99,91000002,91000001,0,0,0,110326,110324,788,220,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100032,200,547638,10202,10202,10202,10202,1,0,0,1,1,1066939
110326,110326,14,1,1,3,26,66,1,第3章,关卡3-26,0,5,99,91000002,91000001,0,0,0,110327,110325,816,201,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100032,200,549719,10202,10202,10202,10202,1,0,0,1,1,1070994
110327,110327,14,1,1,3,27,67,1,第3章,关卡3-27,0,5,99,91000002,91000001,0,0,0,110328,110326,846,201,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100033,200,551807,10202,10202,10202,10202,1,0,0,1,1,1075062
110328,110328,14,1,2,3,28,68,1,第3章,关卡3-28,港口怪物们会不会卷土重来？当那些普通人也知道了，可以被影响的不止有没有智慧的动物还有人类时，事情的影响也不再是“可怕的怪物伤害人”那样简单了。甚至有人开始怀疑，在城区，那些一直以来都安稳的地方，存在着早就被侵蚀但是伪装的很好的人，他们等着某个时机，想将所有人一网打尽。,5,99,91000002,91000001,0,0,0,110329,110327,871,225,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100033,200,553903,10202,10202,10202,10202,1,0,0,1,0,0
110329,110329,14,1,1,3,29,69,1,第3章,关卡3-29,0,5,99,91000002,91000001,0,0,0,110330,110328,893,247,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100033,100,556007,10202,10202,10202,10202,1,0,0,1,1,1083244
110330,110330,14,1,1,3,30,70,1,第3章,关卡3-30,0,5,99,91000002,91000001,0,0,0,110331,110329,917,266,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100033,100,558119,10202,10202,10202,10202,1,0,0,1,1,1087359
110331,110331,15,1,1,3,31,71,1,第3章,关卡3-31,0,5,99,91000002,91000001,0,0,0,110332,110330,944,279,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100034,100,560239,10202,10202,10202,10202,1,0,0,1,1,1091489
110332,110332,15,1,2,3,32,72,1,第3章,关卡3-32,西部港湾的重建整体还算顺利，不过也时常有冒险的队伍说在周边军队没有管辖的区域遇到强盗和怪物的报告。这些对于建设工作无伤大雅，麦杰卓根本来也不是所谓的天堂，所有的繁荣与安稳都是前人浴血奋战才得来。,5,99,91000002,91000001,0,0,0,110333,110331,979,283,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100034,100,562367,10202,10202,10202,10202,1,0,0,1,0,0
110333,110333,15,1,1,3,33,73,1,第3章,关卡3-33,0,5,99,91000002,91000001,0,0,0,110334,110332,1016,291,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100035,100,564503,10202,10202,10202,10202,1,0,0,1,1,1099797
110334,110334,15,1,1,3,34,74,1,第3章,关卡3-34,0,5,99,91000002,91000001,0,0,0,110335,110333,1054,298,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100035,100,566648,10202,10202,10202,10202,1,0,0,1,1,1103976
110335,110335,15,1,1,3,35,75,1,第3章,关卡3-35,0,5,99,91000002,91000001,0,0,0,110336,110334,1078,276,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100036,100,568801,10202,10202,10202,10202,1,0,0,1,1,1108170
110336,110336,16,1,3,3,36,76,1,第3章,关卡3-36,海港的一切都在逐渐趋于平静，越来越多的商人商队来到这里，他们说其他的一些市场码头都在被怪物袭击，许多人无论愿不愿意，都会变成它们的一员。显然，海港的驻守和重新修建是一个明智的决定，可是这些来自其他地区和国家的消息却并不能让人明智的决定高兴。,5,99,91000002,91000001,0,0,0,110401,110335,1049,227,gk_Item_02,Item01_02,Item01_01,1008,1011001|1011002|1011003,100036,100,570962,10202,10202,10202,10202,1,0,0,1,0,0
110401,110401,16,1,1,4,1,77,1,第4章,关卡4-1,0,5,99,91000002,91000001,0,0,0,110402,110336,36,300,gk_Volcano_02,Volcano01_02,Volcano01_01,1006,1041001|1041002,100037,0,1000000,10202,10202,10202,10202,1,0,0,1,1,1938000
110402,110402,16,1,1,4,2,78,1,第4章,关卡4-2,0,5,99,91000002,91000001,0,0,0,110403,110401,74,281,gk_Volcano_02,Volcano01_02,Volcano01_01,1006,1041001|1041002,100037,0,1004850,10202,10202,10202,10202,1,0,0,1,1,1947000
110403,110403,16,1,1,4,3,79,1,第4章,关卡4-3,0,5,99,91000002,91000001,0,0,0,110404,110402,111,281,gk_Volcano_02,Volcano01_02,Volcano01_01,1006,1041001|1041002,100037,0,1009723,10202,10202,10202,10202,1,0,0,1,1,1957000
110404,110404,16,1,2,4,4,80,1,第4章,关卡4-4,麦杰卓根大陆的真实情况远比想象的糟糕，毕竟人们所生活的区域在这个世界也只占有很小的一部分，还有很多地方都没有被探索。那些地方不适合人类生存，又或者说，人类不想再次踏入其中。一支探险的队伍来到了这里，一片狼藉的边界地区，除了腐朽和悲伤这里一无所有。,5,99,91000002,91000001,0,0,0,110405,110403,143,292,gk_Volcano_02,Volcano01_02,Volcano01_01,1006,1041001|1041002,100038,0,1014620,10202,10202,10202,10202,1,0,0,1,0,0
110405,110405,17,1,1,4,5,81,1,第4章,关卡4-5,0,5,99,91000002,91000001,0,0,0,110406,110404,176,298,gk_Volcano_02,Volcano01_02,Volcano01_01,1006,1041001|1041002,100038,0,1019540,10202,10202,10202,10202,1,0,0,1,1,1976000
110406,110406,17,1,1,4,6,82,1,第4章,关卡4-6,0,5,99,91000002,91000001,0,0,0,110407,110405,202,292,gk_Volcano_02,Volcano01_02,Volcano01_01,1006,1041001|1041002,100039,0,1024484,10202,10202,10202,10202,1,0,0,1,1,1985000
110407,110407,17,1,1,4,7,83,1,第4章,关卡4-7,0,5,99,91000002,91000001,0,0,0,110408,110406,230,294,gk_Volcano_02,Volcano01_02,Volcano01_01,1006,1041001|1041002,100040,0,1029452,10202,10202,10202,10202,1,0,0,1,1,1995000
