levelid,mapid,maintype,leveltype,levelindex,chapterindex,levelgroup,level,siege,levelname,chaptername,descriptiont,physicalstrength,teamexp,everydaynum,sloot1,sloot2,sloot3,sloot4,loot1,loot2,loot3,loot4,tasktypes,n1,n2,n3,n4,word,show,icon,heroid,herolv,heroclass,herostar,content,overdrama,aindex,bindex,condition,nextlevel,alevel1,alevel2,component,towershow,showtalk
110302,110302,1,2,3,2,2,1,0,第3章  瓦特阿尔,3-2 遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,91000002,91000001,30101002,0,91000001,30101000,30101002,30101001,0,0,0,0,0,0,0,0,0,0,0,0,0,3020101,0,0,0,0,110301,0,20,1010,VO_Story/yiji_saila
110303,110303,1,1,3,3,1,1,0,第3章  瓦特阿尔,3-3 受惑矮人,力量与荣耀！还有美人。,5,5,99,20000012,91000001,30101002,0,91000001,30101000,30101002,30101001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110301,0,20,1005,0
110304,110304,1,2,3,4,3,1,0,第3章  瓦特阿尔,3-4 小恶魔,这只恶魔似乎可以接受友好的谈判。,5,5,99,91000002,91000001,30102002,0,91000001,30101000,30102002,30102001,7,1,2004,0,2,谈判条件:,4,0,3001,0,2,1,精灵妖狐绿色2星,3040101,2,0,return mod_base.issysopen(4),0,110301,0,20,1007,0
110305,110305,1,1,3,5,1,1,0,第3章  瓦特阿尔,3-5 巨型蛛怪,被迷惑的矮人将他们饲养的宠物给放了出来。,5,5,99,20000013,91000001,30102002,0,91000001,30101000,30102002,30102001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110301,0,20,5001,0
110306,110306,1,2,3,6,1,1,0,第3章  瓦特阿尔,3-6 九头蛇,九头蛇经常因为每个头的意见不同而争吵。,5,5,99,91000002,91000001,30102002,0,91000001,30101000,30102002,30102001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110301,0,20,5006,0
110307,110307,1,2,3,7,2,1,0,第3章  瓦特阿尔,3-7 遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,20000014,91000001,30103002,0,91000001,30101000,30103002,30103001,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,110301,0,20,1010,VO_Story/yiji_saila
110308,110308,1,1,3,8,1,1,0,第3章  瓦特阿尔,3-8 失去理智,魅魔才能带领瓦特阿尔走向光明！,5,5,99,91000002,91000001,30103002,12200601,91000001,30101000,30103002,30103001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110301,0,20,1005,0
110309,110309,1,2,3,9,3,1,0,第3章  瓦特阿尔,3-9 妖颜惑众,魅魔确实拥有颠倒众生的美貌。,5,5,99,20000015,91000001,30103002,0,91000001,30101000,30103002,30103001,7,1,3003,0,1,谈判条件:,4,0,3001,0,2,1,拥有一个魅魔女王,3090101,1,newActivityUI.show(9004),return mod_base.issysopen(11),0,110301,0,20,3003,0
110310,110310,1,3,3,10,1,1,0,第3章  瓦特阿尔,3-10 受惑国王,这位国王被迷惑了，好在我们可以让他清醒过来！,5,5,99,20000016,91000001,12200601,12400201,91000001,30101000,12200601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110301,0,20,4002,0
110401,110401,1,2,4,1,1,1,0,第4章  号角盆地,4-1 唤灵妖姬,她本来不该出现在这里。,5,5,99,91000002,91000001,30104002,0,91000001,30101000,30104002,30104001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110310,0,20,1008,0
110402,110402,1,2,4,2,2,1,0,第4章  号角盆地,4-2 遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,91000002,91000001,30104002,0,91000001,30101000,30104002,30104001,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,110401,0,20,1010,VO_Story/yiji_saila
110403,110403,1,1,4,3,1,1,0,第4章  号角盆地,4-3 流浪法师,为什么要当佣兵？法师也是要吃饭的嘛。,5,5,99,91000002,91000001,30104002,12200801,91000001,30101000,30104002,30104001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110401,0,20,2008,0
110404,110404,1,2,4,4,1,1,0,第4章  号角盆地,4-4 窃法团伙,法师一般都很孤僻，但落魄的流浪法师却不一样。,5,5,99,91000002,91000001,30105002,0,91000001,30101000,30105002,30105001,0,0,0,0,0,谈判条件:,4,0,3001,0,2,1,拥有10件20级装备,0,0,0,0,0,110401,0,20,4006,0
110405,110405,1,1,4,5,1,1,0,第4章  号角盆地,4-5 痴情兽人,世上有最拙劣的人类，也有最高尚的兽人。,5,5,99,91000002,91000001,30105002,12400501,91000001,30101000,30105002,30105001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110401,0,20,4005,0
110406,110406,1,2,4,6,1,1,0,第4章  号角盆地,4-6 狮鹫兽,狮鹫兽喜欢像龙一样囤积财富。,5,5,99,91000002,91000001,30105002,0,91000001,30101000,30105002,30105001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110401,0,20,5002,0
110407,110407,1,2,4,7,2,1,0,第4章  号角盆地,4-7 遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,91000002,91000001,30106002,0,91000001,30101000,30106002,30106001,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,0,0,0,0,110401,0,20,1010,VO_Story/yiji_saila
110408,110408,1,1,4,8,1,1,0,第4章  号角盆地,4-8 灵魂呼唤,唤灵妖姬看起来并不像她们表现得那么友好。,5,5,99,91000002,91000001,30106002,12100801,91000001,30101000,30106002,30106001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110401,0,20,1008,0
110409,110409,1,2,4,9,1,1,0,第4章  号角盆地,4-9 凛冬之影,一场神秘的集会，她们似乎不想被打扰。,5,5,99,91000002,91000001,30106002,0,91000001,30101000,30106002,30106001,0,0,0,0,0,谈判条件:,4,0,3001,0,2,1,队伍总战力达到20000,0,0,0,0,0,110401,0,20,4011,0
110410,110410,1,3,4,10,1,1,0,第4章  号角盆地,4-10 幕后之人,似乎有人正在悄无声息地编织一个巨大的阴谋。,5,5,99,91000002,91000001,12201001,12300601,91000001,30101000,12201001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110401,0,20,3006,0
110501,110501,1,2,5,1,1,1,0,第5章  金色高地,5-1 惊慌精灵,看起来这片森林不像想象中的那么宁静。,5,5,99,91000002,91000001,30101003,12200401,91000001,30101000,30101003,30101002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110410,0,20,2004,0
110502,110502,1,2,5,2,2,1,0,第5章  金色高地,5-2 遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,91000002,91000001,30101003,0,91000001,30101000,30101003,30101002,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,0,0,0,0,110501,0,20,1010,VO_Story/yiji_saila
110503,110503,1,1,5,3,1,1,0,第5章  金色高地,5-3 暗夜精灵,暗夜精灵常认为自己深耕于黑暗，却侍奉光明。,5,5,99,91000002,91000001,30101003,12300201,91000001,30101000,30101003,30101002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110501,0,20,3002,0
110504,110504,1,2,5,4,1,1,0,第5章  金色高地,5-4 愤怒精灵,精灵与暗夜精灵似乎起了争执，但他们似乎都不怎么喜欢我们。,5,5,99,91000002,91000001,30102003,0,91000001,30101000,30102003,30102002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110501,0,20,3002,0
110505,110505,1,1,5,5,1,1,0,第5章  金色高地,5-5 森之鹿,在暗夜精灵来到这里前，小鹿认为他们爱好和平。,5,5,99,91000002,91000001,30102003,12400801,91000001,30101000,30102003,30102002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110501,0,20,4008,0
110506,110506,1,2,5,6,1,1,0,第5章  金色高地,5-6 北岭之弓,她一直认为没人能保护自取灭亡的家伙。,5,5,99,91000002,91000001,30102003,12301201,91000001,30101000,30102003,30102002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110501,0,20,3012,0
110507,110507,1,2,5,7,2,1,0,第5章  金色高地,5-7 遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,91000002,91000001,30103003,0,91000001,30101000,30103003,30103002,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,110501,0,20,1010,VO_Story/yiji_saila
110508,110508,1,1,5,8,1,1,0,第5章  金色高地,5-8 傀儡术,来自同族的寒冷最灼人。,5,5,99,91000002,91000001,30103003,0,91000001,30101000,30103003,30103002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110501,0,20,2004,0
110509,110509,1,2,5,9,1,1,0,第5章  金色高地,5-9 一场误会,该如何化解这场误会呢？,5,5,99,91000002,91000001,30103003,0,91000001,30101000,30103003,30103002,0,0,0,0,0,0,0,0,0,0,0,0,拥有2个紫色品质武将,0,0,0,0,0,110501,0,20,4008,0
110510,110510,1,3,5,10,1,1,0,第5章  金色高地,5-10 暗夜使命,凛冬将至。,5,5,99,91000002,91000001,12301201,0,91000001,30101000,12301201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110501,0,20,3002,0
110601,110601,1,2,6,1,1,1,0,第6章  黑暗地道,6-1 恶魔低语,幽暗无边，危机四伏。,5,5,99,91000002,91000001,30104003,0,91000001,30101000,30104003,30104002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110510,0,20,1007,0
110602,110602,1,2,6,2,2,1,0,第6章  黑暗地道,6-2 遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,91000002,91000001,30104003,0,91000001,30101000,30104003,30104002,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,110601,0,20,1010,VO_Story/yiji_saila
110603,110603,1,1,6,3,1,1,0,第6章  黑暗地道,6-3 诅咒,长夜漫漫，处处险恶。,5,5,99,91000002,91000001,30104003,0,91000001,30101000,30104003,30104002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110601,0,20,1007,0
110604,110604,1,2,6,4,1,1,0,第6章  黑暗地道,6-4 黑暗侵袭,敌人在暗处伺机而动。,5,5,99,91000002,91000001,30105003,0,91000001,30101000,30105003,30105002,0,0,0,0,0,0,0,0,0,0,0,0,拥有3个橙色品质武将,0,0,0,0,0,110601,0,20,1007,0
110605,110605,1,1,6,5,1,1,0,第6章  黑暗地道,6-5 熔岩恶魔,泰拉尔被这些以太界的生物入侵了。,5,5,99,91000002,91000001,30105003,12201001,91000001,30101000,30105003,30105002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110601,0,20,2010,0
110606,110606,1,2,6,6,1,1,0,第6章  黑暗地道,6-6 九头蛇,多头蛇的头们这次和好了！,5,5,99,91000002,91000001,30105003,0,91000001,30101000,30105003,30105002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110601,0,20,5006,0
110607,110607,1,2,6,7,2,1,0,第6章  黑暗地道,6-7 遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,91000002,91000001,30106003,0,91000001,30101000,30106003,30106002,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,110601,0,20,1010,VO_Story/yiji_saila
110608,110608,1,1,6,8,1,1,0,第6章  黑暗地道,6-8 入侵恶魔,恶魔们真是无恶不作。,5,5,99,91000002,91000001,30106003,0,91000001,30101000,30106003,30106002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110601,0,20,2010,0
110609,110609,1,2,6,9,1,1,0,第6章  黑暗地道,6-9 熔岩巨剑,它的刀刃可以融化一切。,5,5,99,91000002,91000001,30106003,0,91000001,30101000,30106003,30106002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110601,0,20,2010,0
110610,110610,1,3,6,10,1,1,0,第6章  黑暗地道,6-10 火焰领主,火焰领主只想把这个世界变成一片火海。,5,5,99,91000002,91000001,12400101,12300101,91000001,30101000,12400101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110601,0,20,3001,0
110701,110701,1,2,7,1,1,1,0,第7章  荒原,7-1 蛮族之刃,他看起来不像一般的蛮族。,5,5,99,91000002,91000001,30101004,0,91000001,30101000,30101004,30101003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110610,0,20,3005,0
110702,110702,1,2,7,2,2,1,0,第7章  荒原,7-2 遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,91000002,91000001,30101004,0,91000001,30101000,30101004,30101003,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,110701,0,20,1010,VO_Story/yiji_saila
110703,110703,1,1,7,3,1,1,0,第7章  荒原,7-3 荒漠之狼,海洋之狼流落到了荒漠之中。,5,5,99,91000002,91000001,30101004,0,91000001,30101000,30101004,30101003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110701,0,20,1001,0
110704,110704,1,2,7,4,1,1,0,第7章  荒原,7-4 流浪法师,一群毫无原则的落魄法师。,5,5,99,91000002,91000001,30102004,0,91000001,30101000,30102004,30102003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110701,0,20,3006,0
110705,110705,1,1,7,5,1,1,0,第7章  荒原,7-5 刀魂,他只想挑战更强的对手。,5,5,99,91000002,91000001,30102004,0,91000001,30101000,30102004,30102003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110701,0,20,3005,0
110706,110706,1,2,7,6,1,1,0,第7章  荒原,7-6 持剑之人,傲慢的家伙，也许该接受教育了。,5,5,99,91000002,91000001,30102004,0,91000001,30101000,30102004,30102003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110701,0,20,1001,0
110707,110707,1,2,7,7,2,1,0,第7章  荒原,7-7 遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,91000002,91000001,30103004,0,91000001,30101000,30103004,30103003,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,0,0,0,0,110701,0,20,1010,VO_Story/yiji_saila
110708,110708,1,1,7,8,1,1,0,第7章  荒原,7-8 荒野利刃,他喜欢用鲜血滋润双斧。,5,5,99,91000002,91000001,30103004,0,91000001,30101000,30103004,30103003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110701,0,20,4005,0
110709,110709,1,2,7,9,1,1,0,第7章  荒原,7-9 决斗,刀客拔刀时那一抹雪亮，决然又锋利。,5,5,99,91000002,91000001,30103004,0,91000001,30101000,30103004,30103003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110701,0,20,3005,0
110710,110710,1,3,7,10,1,1,0,第7章  荒原,7-10 蛮族之王,打败蛮族之王，我们就能继续冒险了。,5,5,99,91000002,91000001,12300401,0,91000001,30101000,12300401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110701,0,20,2005,0
110801,110801,1,2,8,1,1,1,0,第8章  围城战,8-1 收割者,收割者认为生命无常，充斥着混乱与痛苦。,5,5,99,91000002,91000001,30104004,0,91000001,30101000,30104004,30104003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110710,0,20,1006,0
110802,110802,1,2,8,2,2,1,0,第8章  围城战,8-2 遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,91000002,91000001,30104004,0,91000001,30101000,30104004,30104003,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,0,0,0,0,110801,0,20,1010,VO_Story/yiji_saila
110803,110803,1,1,8,3,1,1,0,第8章  围城战,8-3 暗灵祭司,暗灵对生气汲汲渴求，就像溺水之人渴望空气。,5,5,99,91000002,91000001,30104004,0,91000001,30101000,30104004,30104003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110801,0,20,3009,0
110804,110804,1,2,8,4,1,1,0,第8章  围城战,8-4 暗灵战士,死亡意味着宁静、秩序与永恒之美。,5,5,99,91000002,91000001,30105004,0,91000001,30101000,30105004,30105003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110801,0,20,3007,0
110805,110805,1,1,8,5,1,1,0,第8章  围城战,8-5 灵界大帝,尘归尘，土归土，胜者将死。,5,5,99,91000002,91000001,30105004,0,91000001,30101000,30105004,30105003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110801,0,20,3007,0
110806,110806,1,2,8,6,1,1,0,第8章  围城战,8-6 三头犬,地狱伙食不好，所以它来人间捕猎。,5,5,99,91000002,91000001,30105004,0,91000001,30101000,30105004,30105003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110801,0,20,5004,0
110807,110807,1,2,8,7,2,1,0,第8章  围城战,8-7 遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,91000002,91000001,30106004,0,91000001,30101000,30106004,30106003,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,110801,0,20,1010,VO_Story/yiji_saila
110808,110808,1,1,8,8,1,1,0,第8章  围城战,8-8 追魂,有时候收割者也会怀念活着的时候。,5,5,99,91000002,91000001,30106004,0,91000001,30101000,30106004,30106003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110801,0,20,1006,0
110809,110809,1,2,8,9,1,1,0,第8章  围城战,8-9 恶魔复生,小恶魔又回来了。,5,5,99,91000002,91000001,30106004,0,91000001,30101000,30106004,30106003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110801,0,20,1007,0
110810,110810,1,3,8,10,1,1,0,第8章  围城战,8-10 暗灵大帝,他于骸骨之中崛起，亦如暮色中的夕阳。,5,5,99,91000002,91000001,12200401,0,91000001,30101000,12200401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110801,0,20,3007,0
110901,110901,1,2,9,1,1,1,0,第9章  突破重围,9-1 手足之战,必需让加莱恢复理智。,5,5,99,91000002,91000001,30101005,0,91000001,30101000,30101005,30101004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110810,0,20,2001,0
110902,110902,1,2,9,2,2,1,0,第9章  突破重围,9-2 遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,91000002,91000001,30101005,0,91000001,30101000,30101005,30101004,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,110901,0,20,1010,VO_Story/yiji_saila
110903,110903,1,1,9,3,1,1,0,第9章  突破重围,9-3 恶魔之眼,恶魔一直在窥伺着这个世界。,5,5,99,91000002,91000001,30101005,0,91000001,30101000,30101005,30101004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110901,0,20,1007,0
110904,110904,1,2,9,4,1,1,0,第9章  突破重围,9-4 年轻骑士,加入军队前他许诺过战争结束就回家和心爱的姑娘结婚。,5,5,99,91000002,91000001,30102005,0,91000001,30101000,30102005,30102004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110901,0,20,3007,0
110905,110905,1,1,9,5,1,1,0,第9章  突破重围,9-5 觅血恶魔,对血的渴望，驱使他来到了这个战场。,5,5,99,91000002,91000001,30102005,0,91000001,30101000,30102005,30102004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110901,0,20,3008,0
110906,110906,1,2,9,6,1,1,0,第9章  突破重围,9-6 亡者士兵,所见之人皆是疯癫。,5,5,99,91000002,91000001,30102005,0,91000001,30101000,30102005,30102004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110901,0,20,3007,0
110907,110907,1,2,9,7,2,1,0,第9章  突破重围,9-7 遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,91000002,91000001,30103005,0,91000001,30101000,30103005,30103004,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,110901,0,20,1010,VO_Story/yiji_saila
110908,110908,1,1,9,8,1,1,0,第9章  突破重围,9-8 夺灵,“抱歉，我别无选择。”面对苦难时他总这么说。,5,5,99,91000002,91000001,30103005,0,91000001,30101000,30103005,30103004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110901,0,20,3009,0
110909,110909,1,2,9,9,1,1,0,第9章  突破重围,9-9 亡者之怒,你还没有资格站在他的面前。,5,5,99,91000002,91000001,30103005,0,91000001,30101000,30103005,30103004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110901,0,20,3007,0
110910,110910,1,3,9,10,1,1,0,第9章  突破重围,9-10 骑士之魂,这场游戏只有赢或死，从不存在什么中间地带。,5,5,99,91000002,91000001,12200601,0,91000001,30101000,12200601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110901,0,20,2001,0
111001,111001,1,2,10,1,1,1,0,第10章  圣城之战,10-1 总攻,生命总会在最黑暗的地方绽放。,5,5,99,91000002,91000001,30104005,0,91000001,30101000,30104005,30104004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110910,0,20,3007,0
111002,111002,1,2,10,2,2,1,0,第10章  圣城之战,10-2 遗迹,一座先行者的遗迹，封印着远古的秘密。,5,5,99,91000002,91000001,30104005,0,91000001,30101000,30104005,30104004,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,111001,0,20,1010,VO_Story/yiji_saila
111003,111003,1,1,10,3,1,1,0,第10章  圣城之战,10-3 暮光之刃,如果后会无期，也愿能死得其所。,5,5,99,91000002,91000001,30104005,0,91000001,30101000,30104005,30104004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111001,0,20,2001,0
111004,111004,1,2,10,4,1,1,0,第10章  圣城之战,10-4 暗灵法师,世人何以征战不休，枫叶何以凋零飘落。,5,5,99,91000002,91000001,30105005,0,91000001,30101000,30105005,30105004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111001,0,20,3009,0
111005,111005,1,1,10,5,1,1,0,第10章  圣城之战,10-5 暗灵统帅,虽然他们是暗灵，但他们拥有自己的意志。,5,5,99,91000002,91000001,30105005,0,91000001,30101000,30105005,30105004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111001,0,20,3007,0
