heroid,herotype,typequality,legend
1011,生灵,4,"       闻名大陆的刺客工会——暗夜，坐落于天穹山脉的深处。尼尔在雪山的冷酷环境下长大，并在这里找到了自己的价值。她天生就是一名杀手，她的脚步比山猫还要轻盈，她的动作比猎豹还要迅猛。尼尔一直是刺客工会的王牌杀手，直到塞拉的出现。首领“山中老人”有意将塞拉培养成自己的接班人，这让以刺杀为一生事业的尼尔大为不满。好在塞拉最终还是背叛了首领，尼尔不必成为谋杀同门的罪人。尼尔欣喜地从首领那里接到了追杀塞拉的任务，她等待这一天已经太久，她要告诉“山中老人”，自己才是世上最强的杀手。"
2001,生灵,4,"       希伦的继承人加莱，在阻挡丧钟军团进攻时不幸成为俘虏。他被邪恶的死灵法师施加咒语，变成了死亡骑士索灵。他成为丧钟军团的得力干将，率领着亡灵大军不眠不休的追杀自己的同胞，将恐怖撒播到世界的各个角落。起初他被压制的意志还会在心中发出呼喊，但随着咒语控制力的加剧，这种声音也越来越低微。昔日乐观开朗的骑士，渐渐彻底沦为了一具傀儡，他没有信仰也没有感情，但他逐渐腐朽的身躯下，却有一颗哭泣的心灵。"
2002,生灵,4,"       米迦勒致力于将圣光的教义传播到泰拉大陆的每一个角落，她作为教廷的监军，向那些信仰异教的城邦发起进攻。不过，当她得知地狱的恶魔开始染指大陆时，便立刻命令军队撤回。她呼吁三大王国立刻停止纷争，团结一致对抗真正的敌人。"
2003,生灵,4,"       布莱尔居于嚎哭荒原的风息小丘之上，是一位远近闻名的通灵师。布莱尔年轻时曾在泰拉海姆的弧光城学习魔法，但那里课程似乎让她不感兴趣，于是她乘船前往遥远的双子群岛，在那里她遇见了一位拥有呼唤灵魂能力的异能法师。当她再次回到泰拉海姆时，已经是个力量强大的通灵师了。在她通灵术的支配下，手无缚鸡之力的人也能突然变成勇士。"
2004,生灵,4,"      龙夏位于泰拉尔大陆西南部，是一片宁静祥和的乐土，在那里，生活一个独特的族群——狐妖。狐妖受到大地之神的祝福，天生拥有强大的治愈系神术。虽然他们能力强大，却拒绝与外界生物往来。妮妮是他们中的异类，她对世间的所有事物都充满好奇心，尤其是那些关于骑士与法师的传说，更令她心驰神往。在族中长辈准备将大祭司的职位传与她的那天，她带着行李悄悄离开了龙夏，踏上了寻找传说的冒险之旅。"
2005,生灵,4,"       艾克斯天生就是一名战士，在奥克斯坦崇尚武力的环境下，艾克斯在8岁时就被父亲扔到了荒原中生活。在荒野中，艾克斯靠着父亲为他打造的战斧击杀那些妄图将他作为食物的野兽。等他成年时，肌肤练得比钢铁还要坚硬，利斧被无数对手的血水浸成了黑色。他回族群中，却得知父亲在战场上失踪的消息。他没有感到悲伤，只是默默背上战斧，前往强者云集的征战平原。艾克斯相信父亲没有死去，因为父亲是艾克斯所认可的最强战士，只有找到父亲并将其战胜，艾克斯才能完成自己的修行。"
2006,生灵,4,"       在圣赫利，每个人都向往为光明圣殿工作，但只有那些能力杰出并且信仰坚定的青年，才有资格成为圣殿的神职人员。塔里克和许多有志青年一样，自愿接受了圣殿的考验，他加入圣殿直属的橡叶骑士团，成为了一名誓约骑士，为了教廷的神圣事业在世界各地奋战。"
2007,生灵,4,"       阿鲁卡是吸血鬼和人类的混血，他的人类生母将他抚养长大，并从小教育他爱与责任。他的体内流淌着吸血鬼受诅咒的血液，这使他经常忍不住狂性大发，每当这时候，母亲温柔而古老的歌谣便是唯一有效的安慰剂。有一天，一群恶魔闯进了他们居住的村庄，并将阿鲁卡的母亲残忍杀死。亲眼看到母亲被杀的阿鲁卡再也控制不住体内狂暴的力量，他化身红眼的吸血魔，将入侵的恶魔尽数消灭。虽然拯救了村子，但阿鲁卡却遭到了村民驱赶，他们无法接受这位和他们生活了这么久的少年尽然是吸血鬼的事实。但阿鲁卡没有怨恨他们，他背起母亲的遗骸离开村子，从此再也没有回来。多年后，契约英雄中出现了一位有名的恶魔猎人，传说他在生气时，双眼会变成红色。"
2008,生灵,4,"       奥萝尔是大法师欧拉最为得意的弟子。同门的埃西尔桀骜不驯，为了惩治这位师妹，奥萝尔和埃西尔进行了一次违反教条的对决，没想到却使对方意外负伤。两人都遭到了法师公会最为严厉的处罚——流放。失落的奥萝尔放弃了对魔法的掌控，前往深山隐居。有一天暴风雪袭击了山中的村庄，奥萝尔挺身而出，用魔法保护了村民，她终于明白自己的能力可以用来拯救他人。她在山中流浪，帮助那些需要帮助的人，法师公会听闻她的事迹后，决定原谅她之前的过失。但是她选择留在山中，因为这里更需要自己。"
2009,生灵,4,"       在星环城的众多学院中，原力学院是最为特殊的存在。学院长潘多拉首先发现了这种神秘的力量，它需要施术者天生体内带有原力感应细胞，并通过严格的后天训练才能掌握。潘多拉是世上唯一的原力大师，只有她才能不经过任何施法就发射数十道致命的闪电。这种强大的能力不仅给潘多拉带来了声誉，也给她带来的威胁。运用这种能力愈久，她愈能感觉到一种来自黑暗虚空的诱惑。为了查明真相，她离开了星环城，寻找那个能给原力带来平衡的天选之人。"
2010,生灵,4,"       埃利恩是火焰领主凯隆的得力部下。尽管这位部下并不擅长使用头脑，但他的忠诚与勇猛是毋庸置疑的。和其他元素生物一样，埃利恩蔑视泰拉尔的一切生灵，埃利恩很乐意用喷涌的熔浆将他逼到角落，看着他们露出绝望的表情，然后再用手中那把沉重的火焰巨剑将他们化为灰烬。"
2011,生灵,4,"       作为圣赫利主持礼拜的圣女，安琪在教廷中拥有着仅次于教皇的地位。她从出生起就受到巴德的祝福，拥有强大的治愈系神术，再加上她那副天使般的歌喉，伤病者只要一听到她的歌声，便能迅速恢复活力，如果听完一整只曲子，身上的病痛便会立刻消除。尽管拥有这样的能力，安琪却常常感到忧心。人们总是请求她治愈那些在战争中身受重伤的人，却从不曾想过要停止战争，有时候自己刚刚才救下的人，转眼又要创造更多杀戮。这让安琪感到迷茫，于是教廷的圣女在某天不辞而别，她想让自己的能力用在更有价值的地方。"
3001,生灵,4,"       元素位面位于遥远的以太界，它们原本与泰拉尔井水不犯河水。龙神泰拉陨落后，以太物质进入泰拉尔世界，形成最初的魔网。随着泰拉尔生物对奥术的运用越来越频繁，魔网产生强烈的波动，让火元素位面的领主凯隆感知了泰拉尔的存在。凯隆早已厌倦了元素位面的暗无天日，当他感受到生机勃勃的泰拉尔时，立刻欣喜若狂。他召集得力干将，打开了通往泰拉尔的传送门。他们来到泰拉尔地下城的深处，秘密建起了一座用于侵略的前哨战……"
3002,生灵,4,"       维尔娜生于精灵族的地牢中，“暗精灵终生为奴。”这是伴随她成长的一句话。直到有一天，狮鹫帝国的皇帝率军攻破了地牢，维尔娜第一次见到了人间的光明，也令她发现了自己无与伦比的射手天赋。“为帝国效力吧，你将得到你应得的。”皇帝对她说道。于是，维尔娜成为了一名帝国战士，通短短几年历练，她便迅速成长为将军。维尔娜跟随皇帝南征北战，黑羽箭所到之处，尽是精灵的尸骸。"
3003,神祗,5,"       当恶魔还没有对人间发动全面进攻的时候，修美尔就已经在魔君的安排下潜入了人间。她化为贵族女子的形象，活跃于各个外交舞会上。她利用美色向各国使节套取情报，必要时，她还会利用魔力将猎物洗脑，甚至潜入他们的梦境，将猎物彻底变为自己的奴隶。她的一系列举动令三大帝国的关系跌入冰点，人间即将陷入一片混乱。所幸乌尔萨即使识破了修美尔的诡计，他带着恶魔留下的罪证，四处游说，阻止了三国间的混战。阴谋失败的修美尔逃回地狱，等待她的将是魔君的惩罚。"
3004,生灵,4,"       埃西尔天生拥有对火元素的掌控力，弧光城的大法师奥拉欣赏她的能力，将她招募到法师公会中。她却倚仗自己的小聪明在法师公会中，与和自己实力不相上下的奥萝尔针锋相对。本以为奥拉会将自己选为首席弟子，没想到奥拉最后竟然选择了奥萝尔。失去理智的埃西尔和奥萝尔在大庭广众之下展开了一场决斗，却完全不敌愤怒的奥萝尔。受到流放惩罚的埃西尔对法师公会和圣赫利产生了强烈恨意。她彻底抛弃了法师的身份，在前往泰拉尔的旅途中，她无意得到了一本失传的术士秘典，上面记载了大量失传的火系魔法。埃西尔很快便完全掌握了这部秘典，她以高阶术士的身份加入到泰拉尔军中，期待着与奥萝尔再次交手的那一天。"
3005,生灵,4,"       罗琅的身世和他的剑技一样，充满了谜团。人们从他的外貌猜测，他可能是人类与恶魔的混血，也有人说他是一支远古兽人的末裔。无论他来自何方，现在的他只是一心为泰拉尔联邦效力，他用剑刃在战场上演死亡之舞，仿佛沾血为画。沉默的他在打扫战场时，会为那些被他斩杀的敌人吟诵经文，然后一个人默默离开。"
3006,生灵,4,"       格里塔作为奥克斯坦的大巫医，掌握着最为“全面”的魔药制作配方。他的嗅觉十分灵敏，仅通过简单的嗅探，便能将魔药中的成分一一分辨出来。他主张将魔药作为一种常规军需品下发到士兵手中，这样能大幅提高军队的作战能力。元老院驳回了他的请求，理由是魔药会对士兵造成伤害。但实际上元老院是不想维持那么庞大的魔药开销才拒绝他的提案。不甘心的格里塔离开了奥克斯坦，他决心要让更多人感受他研制的魔药，以此证明自己的价值。"
3007,生灵,4,"       没有任何有关文献记载过莱茵王的来历，人们只知道混乱的灵界突然出现了这位主持大局的莱茵王，他将四分五裂的巫妖、死亡骑士、吸血鬼统一为丧钟军团，并自称灵界大帝。在猩红之王德古拉的辅佐下，莱茵王不断扩充着恐怖的丧钟军团。当恶魔蠢蠢欲动之时，他迅速作出回应，率先向人类世界发起进攻。他把恐惧播向泰拉每一寸土地，却从来没有表达过他入侵这里的目的，也许感情和思想根本就不存在于他腐朽的身躯中。"
3008,生灵,4,"       “它就要来了！它的皮肤苍白而干枯，头部和后背长着惊悚的犄角，实在看不出它究竟属于哪个种族。它残忍无情，鲜血会让它变得疯狂。地下城中伸手不见五指，但它却可以依靠嗅觉找到我们。只要我们受伤流血，不出片刻便会被它拖进地道。他来了！我听到他嗅东西的声音了！谁来救救我！这声音比任何恶梦都要可怕！向导说他是被诅咒的黑暗精灵，队长说他是恶魔留下的孽种，现在他们都被这只怪物给杀害了。天呐！它出现在我面前了！现在终于轮到我"
3009,生灵,4,"       卡密拉拒绝加入任何势力，只是徘徊于泰拉大陆西部的荒野中，似乎在等待着什么人出现。为了维持自己活力，她必须吸食灵魂。无数迷途的可怜人都成了她黑魔法的牺牲品。"
3010,生灵,4,"       恶魔在万事之战失利以后，陷入了长期的混乱和内战中。对此早有准备的贝利亚乘机夺取了魔君的宝座，将分裂的恶魔们再度统一。她与堕落天使雷米尔合作，一边策划着再度入侵泰拉尔，一边防备着天界的军队。在她的铁腕统治下，恶魔的军队空前强大，只等一声令下，它们便能将泰拉尔变成新的地狱。"
3011,生灵,4,"       和其他崇尚混乱的火精灵不同，艾拉对传说中“令人作呕”的地表世界充满了好奇心。虽然她生于冥河的熔浆之中，但她始终觉得这里乏味单调，只有充斥着“恶心恐怖”动植物的地表世界才是她真正的归宿。有一天艾拉感受到了一种召唤，当她顺应这种奇妙的感觉时，奇迹发生，她来到了地表世界，站在她眼前的是一位美丽睿智的人类魔法师。在魔法师的召唤下，艾拉终于亲眼看到了丰富多彩的地表世界，遗憾的是，作为元素生物，艾拉不能长期离开冥河。尽管语言不通，但艾拉记住了魔法师的名字，魔丽莎，她反复念着魔丽莎的名字，期待着她们能再次相见。"
3012,生灵,4,"       自从在伊芙海姆之战败于狮鹫帝国后，精灵族就迁徙到了北岭一带。在饥寒交迫的艰难日子里，温蒂始终鼓舞着族人，冰雪不但没有夺走她的意志，反而成为了她的力量之源。面对黑羽之箭咄咄逼人的攻势，温蒂利用北岭的险峻地势与其巧妙周旋，在一次决定性的战斗中取得优势，最后终于将帝国的军队赶出了北岭。温蒂以弱胜强，获得了北岭之弓的名号，也成为了维尔娜的眼中钉。两人在日后的数次交锋中，互有胜负，战斗渐渐变成了两位神箭手之间的较量。"
4001,生灵,4,"       拉莱耶的红色肌肤显示着她与众不同的身份。事实上，它来自星界中更高级的位面，一个以根除邪神为目标的世界。种种迹象表明，邪神阿萨托斯已经将邪恶的触手伸向了泰拉尔世界，拉莱耶便一路追查到了泰拉尔。从星界匆忙降临到现世，拉莱耶的力量受到极大削弱，援军迟迟未到，拉莱耶要独自面对阿萨托斯的爪牙，渐渐力感不支。所幸的是，泰拉尔的神器还未被邪神污染，拉莱耶四处找寻着神器的守护者，只要他们还能并肩作战，这个世界就还有希望。"
4002,生灵,4,"       莫瑞亚作为瓦特阿尔的国王，统领着北岭最精锐的矮人族军团。为了防备地底恶魔的入侵，莫瑞亚以严格的标准将族人锻炼成了一支钢铁军团，每名战士几乎都能以一敌百。战场上的莫瑞亚严格认真，酒会上莫瑞亚和蔼幽默，深受族人尊敬和爱戴。大家坚信，有这样一位国王坐镇，没有人能接近瓦特阿尔的壁垒。但他们没想到的是，恶魔却采用了另一种方式入侵。他们派出魅魔诱惑矮人国王，矮人锻炼了身躯，却没有锻炼心智，很快便被魅魔得逞。因为恶魔的入侵，矮人族失去了曾经辉煌的地下城邦。所幸一支冒险小队击败了魅魔，解救了被控制的矮人。现在莫瑞亚成为了神器守护同盟的一员，努力寻回失去的荣誉。"
4003,生灵,4,"       露娜是天使中的温和派，她在泰拉尔留下的分身一直观察着这个年轻的世界。她看过和平共处城邦，也看过刀兵相向的战场。渐渐地，她开始欣赏这个充满活力的世界，尽管野蛮和杀戮充满着这里，但她还是看到的了那些即使面对困境依然努力生活的人们，从他们身上，露娜看到了希望的存在。"
4004,生灵,4,"       在兽人种群中，存在一种特殊群体，他们不但拥有普通兽人强壮的体格，还擅长使用魔法，这一群体被兽人们称为奥格。奥格大部分都是氏族的统治阶级，奥尔加是位特立独行的奥格，比起和其他长老围坐在温暖的议事厅里，他更喜欢到战场上体现自己的价值。和埃西尔交手以后，他深刻认识到氏族眼光的局限。因此他决定发展自己的势力，等待有一天彻底改变兽人的未来。"
4005,生灵,4,"       萨尔法从小被遗弃在荒野，是兽群将他给养大，并教会他生存，猎杀和战斗的技巧。成年后，萨尔法见到了和自己一样的生物，他才明白自己并不是野兽，而是一名人类战士。萨尔法陷入了迷茫，恰在此时，恶魔袭击了兽群，于是萨尔法和兽群并肩作战。他们一起赶跑了恶魔，萨尔法这才明白，他早已和兽群融为一体。"
4006,生灵,4,"       传说奥拉在建立弧光城之后，预见到了弧光城的毁灭。为了避免这一天的到来，他使出浑身法力，创造了弧光城的守护者——天启。天启是一个由魔法构成的生物，她不需要和魔网接触便能自由使用魔法。在守护弧光城的日子里，她也在不断地学习和进步，她渐渐开始产生一个疑问，如果魔法可以创造和保护生命，那为什么还需要人类？她开始失控，奥拉不得不将她毁灭。不过奥拉的致命一击并没有将天启的核心给消灭，她假装战败，并成功逃离了弧光城。现在的她掌握着混沌的魔法力量，在暗中寻觅向奥拉复仇的机会。"
4007,生灵,4,"       吸血鬼王德古拉是丧钟军团大将。他的存在比任何亡灵都要久远，被血之诅咒折磨了万年之久的他，希望能便会一个正常人。他表面上帮助莱茵王四处搜寻神器，实际上他是想利用神器的力量来解除自己身上的诅咒。"
4008,生灵,4,"       艾薇属于一个古老的种族——月鹿人，月鹿人世代隐居于镜林之中，用最原始的方式和自然保持着沟通，他们的身上同时保持者人类、动物和植物的特征。"
4009,生灵,4,"       克里斯是罗丝女神最为宠幸的黑暗精灵主母。她的残忍手段和她的美貌一样，深受整个族群的崇拜。在幽暗深邃的地下城中，魔物横行，克里斯依靠计谋不但将黑暗精灵的地盘扩张，还收服了数支战力强悍的地穴部落。原本实力日渐衰弱的黑暗精灵族群，在这位女士的带领下重新找回了昔日的繁荣。这对精灵来说可不是什么好消息，罗兰戴尔方面派出一支远征军想打击克里斯的扩张，却被克里斯轻松击败。听闻黑暗精灵战胜的消息，狮鹫帝国立刻积极拉拢克里斯，将她封为伯爵，让她统领着帝国的大军在地下城中开疆扩土。"
4010,生灵,4,"       星环城作为魔法行会的最高学府，培养出了一代又一代杰出的法师。魔丽莎自幼便在星环城中学习，她对元素的掌控力格外出众，只花了常人一半的时间便完成了奥术学院的全部课程，并通过了学院测试，成为了一名高阶法师。由于始终没有查明自己的身世，因此她真正想要学习的是被学院视为禁忌的时空秘法。当她以高阶法师的身份申请研究时空秘法时，却遭到了星环议会的驳回。但她没有放弃，为了了解自己身世的秘密，她独自开始了对时空秘法的研究。研究需要大量资金和材料，于是她签订了召唤契约，成为了一名契约英雄。"
4011,生灵,4,"       不是每一位天使都对泰拉尔怀有恻隐之心，拉斐尔就是冷酷的代言人。从万世之战时期起，她就主张以冰封泰拉尔为代价赶走恶魔。如今两败俱伤的结局更加坚定了拉斐尔当初的想法，并使她在天界获得了不少支持者。对于她来说，泰拉尔存在的都是低等生物，为了天使所代表的正义一方，低等生物随时可以用来牺牲。"
